Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5312","Area harvested","ha","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","5900.000000","6000.000000","6000.000000","6000.000000","5800.000000","5800.000000","5800.000000","5700.000000","5700.000000","5600.000000","5500.000000","5500.000000","5400.000000","5400.000000","6037.000000","5500.000000","5500.000000","5500.000000","5500.000000","5500.000000","5500.000000","5500.000000","5500.000000","5500.000000","7000.000000","9000.000000","5500.000000","5700.000000","12000.000000","11768.000000","12000.000000","12000.000000","12000.000000","11029.000000","11210.000000","13469.000000","13490.000000","14114.000000","13703.000000","14676.000000","19481.000000","19793.000000","20053.000000","29203.000000","22134.000000","36862.000000","36462.000000","37000.000000"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5412","Yield","kg/ha",,,,,,,,,,,,,,,,"1661.000000","1500.000000","2000.000000","1750.000000","1706.900000","1379.300000","1896.600000","1701.800000","1842.100000","1607.100000","1818.200000","1636.400000","1666.700000","1629.600000","1573.600000","1636.400000","1800.000000","1636.400000","1636.400000","1636.400000","1636.400000","1636.400000","1636.400000","2000.000000","1714.300000","1666.700000","2140.700000","2456.100000","1225.000000","1328.100000","1666.700000","2623.400000","3500.000000","3915.400000","4995.500000","4500.000000","4596.000000","2991.000000","1999.600000","1652.100000","1685.900000","1378.800000","1716.100000","1308.300000","1775.900000","1743.200000","1742.000000","1810.800000"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5510","Production","t","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","9800.000000","9000.000000","12000.000000","10500.000000","9900.000000","8000.000000","11000.000000","9700.000000","10500.000000","9000.000000","10000.000000","9000.000000","9000.000000","8800.000000","9500.000000","9000.000000","9900.000000","9000.000000","9000.000000","9000.000000","9000.000000","9000.000000","9000.000000","11000.000000","12000.000000","15000.000000","11773.990000","14000.000000","14700.000000","15630.000000","20000.000000","31481.000000","42000.000000","43183.000000","56000.000000","60611.000000","62000.000000","42215.000000","27400.000000","24246.000000","32843.000000","27291.000000","34413.000000","38205.000000","39307.000000","64256.000000","63515.000000","67000.000000"
"2","'004","Afghanistan","711","'01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","5312","Area harvested","ha",,,,,,,,,,,,,,,,,,,,,,,,,,"700.000000","700.000000","300.000000","1100.000000","1300.000000","1882.000000","700.000000","2270.000000","2871.000000","3000.000000","7000.000000","4000.000000","12000.000000","11311.000000","4000.000000","1600.000000","3300.000000","6800.000000","15000.000000","16000.000000","17432.000000","28000.000000","15000.000000","17748.000000","17000.000000","19500.000000","18500.000000","18500.000000","30000.000000","25000.000000","24500.000000","26160.000000","25220.000000","25293.000000","25558.000000","25357.000000","25403.000000","25439.000000"
"2","'004","Afghanistan","711","'01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","5412","Yield","kg/ha",,,,,,,,,,,,,,,,,,,,,,,,,,"714.300000","714.300000","666.700000","727.300000","769.200000","707.200000","714.300000","685.400000","676.100000","666.700000","600.000000","625.000000","591.700000","618.900000","625.000000","625.000000","606.100000","602.900000","600.000000","625.000000","622.200000","607.100000","600.000000","620.300000","600.000000","641.400000","675.700000","675.700000","716.700000","720.000000","707.500000","697.000000","708.000000","704.100000","703.000000","705.000000","704.000000","704.000000"
"2","'004","Afghanistan","711","'01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","5510","Production","t",,,,,,,,,,,,,,,,,,,,,,,,,,"500.000000","500.000000","200.000000","800.000000","1000.000000","1331.240000","500.000000","1556.060000","1940.650000","2000.000000","4200.000000","2500.000000","7100.000000","7000.000000","2500.000000","1000.000000","2000.000000","4100.000000","9000.000000","10000.000000","10846.180000","17000.000000","9000.000000","11008.470000","10200.000000","12508.000000","12500.000000","12500.000000","21500.000000","18000.000000","17333.330000","18234.120000","17855.820000","17807.760000","17965.900000","17876.490000","17883.380000","17908.590000"
"2","'004","Afghanistan","515","'01341","Apples","5312","Area harvested","ha","2220.000000","2220.000000","2220.000000","2350.000000","2480.000000","2740.000000","3060.000000","2990.000000","3040.000000","3060.000000","3060.000000","3150.000000","3210.000000","3270.000000","3270.000000","3270.000000","3280.000000","3250.000000","3150.000000","3150.000000","3080.000000","2960.000000","2850.000000","2730.000000","2660.000000","2590.000000","2230.000000","2330.000000","2340.000000","2365.000000","2346.000000","2308.000000","2300.000000","2350.000000","2631.000000","3135.000000","3748.000000","4410.000000","4930.000000","5598.000000","5482.000000","5045.000000","3935.000000","2311.000000","2751.000000","7000.000000","7000.000000","7000.000000","8550.000000","8550.000000","8863.000000","9148.000000","10341.000000","12247.000000","13038.000000","19365.000000","26847.000000","28381.000000","27559.000000","25643.000000","30463.000000","30163.000000","31000.000000"
"2","'004","Afghanistan","515","'01341","Apples","5412","Yield","kg/ha","6801.800000","6801.800000","6801.800000","7829.800000","8225.800000","8321.200000","9019.600000","9331.100000","9276.300000","8921.600000","7026.100000","8444.400000","8598.100000","8501.500000","8532.100000","8012.200000","4725.600000","6984.600000","6857.100000","7079.400000","7175.300000","7229.700000","7298.200000","7326.000000","7180.500000","7490.300000","7443.900000","7253.200000","7222.200000","7131.900000","7463.600000","7451.600000","7391.300000","7446.800000","7476.600000","7445.200000","7398.200000","7343.300000","7288.300000","7241.500000","7213.500000","7062.000000","7126.600000","7222.800000","7357.100000","7500.000000","8500.000000","8008.700000","8510.500000","7000.000000","7000.000000","7651.900000","7600.500000","7300.000000","6882.400000","7276.200000","6348.700000","7652.700000","9083.200000","10562.600000","10559.400000","10556.000000","10451.600000"
"2","'004","Afghanistan","515","'01341","Apples","5510","Production","t","15100.000000","15100.000000","15100.000000","18400.000000","20400.000000","22800.000000","27600.000000","27900.000000","28200.000000","27300.000000","21500.000000","26600.000000","27600.000000","27800.000000","27900.000000","26200.000000","15500.000000","22700.000000","21600.000000","22300.000000","22100.000000","21400.000000","20800.000000","20000.000000","19100.000000","19400.000000","16600.000000","16900.000000","16900.000000","16867.000000","17507.390000","17200.000000","17000.000000","17500.000000","19668.680000","23340.580000","27727.090000","32386.330000","35928.150000","40540.060000","39541.740000","35630.080000","28042.990000","16691.830000","20239.340000","52500.000000","59500.000000","56060.690000","72765.000000","59850.000000","62041.000000","70000.000000","78597.000000","89403.000000","89733.000000","140903.000000","170443.000000","217192.000000","250324.000000","270857.000000","321672.000000","318402.000000","324000.000000"
"2","'004","Afghanistan","526","'01343","Apricots","5312","Area harvested","ha","4820.000000","4820.000000","4820.000000","5100.000000","5370.000000","5930.000000","6620.000000","6480.000000","6590.000000","6630.000000","6630.000000","6810.000000","6950.000000","7070.000000","7080.000000","7080.000000","7100.000000","7050.000000","6810.000000","6820.000000","6680.000000","6410.000000","6170.000000","5920.000000","5750.000000","5610.000000","4830.000000","5050.000000","5060.000000","5115.000000","4876.000000","4951.000000","5100.000000","5119.000000","5150.000000","5325.000000","5407.000000","5505.000000","5612.000000","5754.000000","5200.000000","6272.000000","7007.000000","5200.000000","7223.000000","8030.000000","8000.000000","8000.000000","8170.000000","8320.000000","8320.000000","8350.000000","9005.000000","9005.000000","9116.000000","8595.000000","18067.000000","18510.000000","17719.000000","17481.000000","27082.000000","26731.000000","22008.000000"
