,iso,GCAM_region_name,area_harvest,yield,ln_yield,year,temp_mean,temp_mean_2,temp_max,temp_max_2,temp_min,temp_min_2,precip_mean,precip_mean_2,precip_max,precip_max_2,precip_min,precip_min_2,fit_lnyield_mmm_quad_noco2_nogdp
1,arg,Argentina,980,9765,9.186559843,1961,13.962,194.937444,17.49,305.9001,8.92,79.5664,80.402,6464.481604,171.47,29401.9609,28.31,801.4561,13934.35595
2,arg,Argentina,9649,11628,9.361171262,1962,13.888,192.876544,17.27,298.2529,8.4,70.56,69.42,4819.1364,139.41,19435.1481,25.77,664.0929,14111.47922
3,arg,Argentina,19302,9802,9.190341725,1963,14.068,197.908624,16.57,274.5649,11.03,121.6609,62.694,3930.537636,98.23,9649.1329,23.58,556.0164,14063.0597
4,arg,Argentina,12220,11457,9.346356176,1964,13.77,189.6129,17.27,298.2529,8.98,80.6404,76.322,5825.047684,134.1,17982.81,34.97,1222.9009,14250.23922
5,arg,Argentina,16422,10352,9.244935017,1965,13.7,187.69,16.29,265.3641,8.72,76.0384,103.866,10788.14596,150.1,22530.01,45.82,2099.4724,14083.82502
6,arg,Argentina,15689,11600,9.358760377,1966,14.222,202.265284,16.6,275.56,11.41,130.1881,85.682,7341.405124,116.94,13674.9636,44.47,1977.5809,14049.55809
7,arg,Argentina,17290,11857,9.380673689,1967,13.798,190.384804,16.59,275.2281,10.67,113.8489,59.438,3532.875844,73.9,5461.21,33.42,1116.8964,14634.87804
8,arg,Argentina,20200,10891,9.295692039,1968,13.574,184.253476,17.24,297.2176,8.19,67.0761,53.804,2894.870416,98.75,9751.5625,18.03,325.0809,15606.30034
9,arg,Argentina,28200,11277,9.330520532,1969,14.922,222.666084,17.93,321.4849,10.18,103.6324,38.186,1458.170596,51.38,2639.9044,31.37,984.0769,15171.32607
10,arg,Argentina,25970,10320,9.241839039,1970,14.506,210.424036,17,289,10.26,105.2676,69.658,4852.236964,92.79,8609.9841,32.23,1038.7729,15088.43617
11,arg,Argentina,36330,16240,9.695232614,1971,14.03,196.8409,16.62,276.2244,11.3,127.69,68.414,4680.475396,110.79,12274.4241,22.54,508.0516,15731.47566
12,arg,Argentina,68000,11471,9.34757739,1972,13.782,189.943524,16.17,261.4689,10.62,112.7844,77.066,5939.168356,114,12996,45.09,2033.1081,15592.22209
13,arg,Argentina,157030,17322,9.759732649,1973,13.308,177.102864,16,256,8.85,78.3225,92.358,8530.000164,163.84,26843.5456,22.97,527.6209,16535.09454
14,arg,Argentina,334440,14831,9.604474864,1974,13.934,194.156356,17.53,307.3009,9.7,94.09,80.15,6424.0225,110.07,12115.4049,40.72,1658.1184,15929.86233
15,arg,Argentina,355940,13626,9.519735011,1975,14.014,196.392196,16.69,278.5561,9.24,85.3776,64.798,4198.780804,104.99,11022.9001,20.96,439.3216,16808.41337
16,arg,Argentina,433500,16032,9.682342004,1976,13.958,194.825764,16.98,288.3204,9.35,87.4225,77.726,6041.331076,109.36,11959.6096,45.54,2073.8916,16422.87151
17,arg,Argentina,660000,21212,9.962322338,1977,13.348,178.169104,16.24,263.7376,8.53,72.7609,84.082,7069.782724,129.01,16643.5801,19.5,380.25,17344.38118
18,arg,Argentina,1150000,21739,9.986863161,1978,14.136,199.826496,17.28,298.5984,10.39,107.9521,70.144,4920.180736,140.56,19757.1136,36.58,1338.0964,17414.35606
19,arg,Argentina,1600000,23125,10.04866956,1979,14.594,212.984836,18.13,328.6969,10.47,109.6209,65.338,4269.054244,93.32,8708.6224,37.83,1431.1089,17004.74351
