,iso,wheat,rice,maize,cassava,soybean,sugarcane,sugarbeet,cotton,sorghum,root_tuber,sunflower,plant,harvest
1,alb,1,0,0,0,0,0,0,0,0,0,0,11,6
2,alb,0,0,1,0,0,0,0,0,0,0,0,5,9
3,alb,0,0,0,0,0,0,0,0,0,0,0,5,8
4,alb,0,0,0,0,0,0,0,0,0,0,0,11,3
5,alb,0,0,0,0,0,0,0,0,0,0,0,5,9
6,alb,0,0,0,0,0,0,0,0,0,0,0,3,10
7,alb,0,0,0,0,0,0,0,0,0,1,0,3,7
8,alb,0,0,0,0,0,0,0,0,0,0,0,2,8
9,alb,0,0,0,0,0,0,0,0,0,0,0,11,6
10,alb,0,0,0,0,0,0,0,0,0,0,0,11,6
11,alb,0,0,0,0,0,0,0,0,0,0,0,11,6
12,dza,1,0,0,0,0,0,0,0,0,0,0,12,7
13,dza,0,0,0,0,0,0,0,0,0,0,0,12,7
14,dza,0,1,0,0,0,0,0,0,0,0,0,5,10
15,dza,0,0,0,0,0,0,0,0,1,0,0,12,7
16,dza,0,0,0,0,0,0,1,0,0,0,0,3,8
17,ago,1,0,0,0,0,0,0,0,0,0,0,5,10
18,ago,0,0,1,0,0,0,0,0,0,0,0,10,3
19,ago,0,1,0,0,0,0,0,0,0,0,0,11,4
